row_index,user_id,image_paths,claim_object,user_claim,field,expected,predicted,claim_status_expected,claim_status_predicted,issue_type_expected,issue_type_predicted,object_part_expected,object_part_predicted,risk_flags_expected,risk_flags_predicted,model_summary
1,user_001,images/sample/case_001/img_1.jpg,car,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",evidence_standard_met_reason,The rear bumper is visible and the dent can be verified from the submitted image.,"The rear of the car, including the rear bumper and trunk, is clearly visible, showing significant damage.",supported,supported,dent,dent,rear_bumper,rear_bumper,none,none,"Image img_1 clearly shows severe damage, including dents and broken parts, to the rear bumper and trunk area of the car, supporting the user's claim of a dent on the back of the car."
1,user_001,images/sample/case_001/img_1.jpg,car,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",claim_status_justification,The image clearly shows a dent on the rear bumper and the user history does not add risk.,"Image img_1 clearly shows severe damage, including dents and broken parts, to the rear bumper and trunk area of the car, supporting the user's claim of a dent on the back of the car.",supported,supported,dent,dent,rear_bumper,rear_bumper,none,none,"Image img_1 clearly shows severe damage, including dents and broken parts, to the rear bumper and trunk area of the car, supporting the user's claim of a dent on the back of the car."
1,user_001,images/sample/case_001/img_1.jpg,car,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",severity,medium,high,supported,supported,dent,dent,rear_bumper,rear_bumper,none,none,"Image img_1 clearly shows severe damage, including dents and broken parts, to the rear bumper and trunk area of the car, supporting the user's claim of a dent on the back of the car."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",evidence_standard_met_reason,The full front view provides context and the close-up image shows the scratch on the front bumper.,Image 1 clearly shows the front bumper with visible damage (scratches and dents).,supported,supported,scratch,scratch,front_bumper,front_bumper,none,none,"Image 1 shows a white car with significant damage, including scratches and dents, on the front bumper, supporting the user's claim of a scrape/scratch on the front bumper."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",claim_status_justification,The close-up image shows a visible scratch on the claimed front bumper.,"Image 1 shows a white car with significant damage, including scratches and dents, on the front bumper, supporting the user's claim of a scrape/scratch on the front bumper.",supported,supported,scratch,scratch,front_bumper,front_bumper,none,none,"Image 1 shows a white car with significant damage, including scratches and dents, on the front bumper, supporting the user's claim of a scrape/scratch on the front bumper."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",severity,low,medium,supported,supported,scratch,scratch,front_bumper,front_bumper,none,none,"Image 1 shows a white car with significant damage, including scratches and dents, on the front bumper, supporting the user's claim of a scrape/scratch on the front bumper."
3,user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,car,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",evidence_standard_met_reason,The windshield is visible and the close-up image shows clear crack lines.,"Image 1 clearly shows the windshield with extensive cracking/shattering, meeting the requirement to inspect the claimed glass damage.",supported,supported,crack,crack,windshield,windshield,none,none,"Image 1 clearly shows a large, spreading crack/shatter pattern on the windshield, supporting the customer's claim of a crack from a stone impact."
3,user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,car,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",claim_status_justification,The image set supports the claim because the windshield crack is visible in the close-up.,"Image 1 clearly shows a large, spreading crack/shatter pattern on the windshield, supporting the customer's claim of a crack from a stone impact.",supported,supported,crack,crack,windshield,windshield,none,none,"Image 1 clearly shows a large, spreading crack/shatter pattern on the windshield, supporting the customer's claim of a crack from a stone impact."
3,user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,car,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",severity,medium,high,supported,supported,crack,crack,windshield,windshield,none,none,"Image 1 clearly shows a large, spreading crack/shatter pattern on the windshield, supporting the customer's claim of a crack from a stone impact."
4,user_007,images/sample/case_004/img_1.jpg,car,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",evidence_standard_met_reason,The side mirror is visible and appears broken or missing.,"The side mirror is clearly visible and shows shattered glass, which aligns with the claim of damage.",supported,supported,broken_part,glass_shatter,side_mirror,side_mirror,none,none,"Image img_1 clearly shows the side mirror with shattered glass, supporting the claim of damage to the side mirror."
