row_index,user_id,image_paths,claim_object,user_claim,field,expected,predicted,claim_status_expected,claim_status_predicted,issue_type_expected,issue_type_predicted,object_part_expected,object_part_predicted,risk_flags_expected,risk_flags_predicted,model_summary
1,user_001,images/sample/case_001/img_1.jpg,car,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",evidence_standard_met_reason,The rear bumper is visible and the dent can be verified from the submitted image.,"The rear of the vehicle is clearly visible, showing severe damage to the rear bumper area and trunk.",supported,supported,dent,dent,rear_bumper,rear_bumper,none,none,"Image img_1 shows severe impact damage to the rear bumper area, including a heavily dented trunk lid and a missing rear bumper cover."
1,user_001,images/sample/case_001/img_1.jpg,car,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",claim_status_justification,The image clearly shows a dent on the rear bumper and the user history does not add risk.,"Image img_1 shows severe impact damage to the rear bumper area, including a heavily dented trunk lid and a missing rear bumper cover.",supported,supported,dent,dent,rear_bumper,rear_bumper,none,none,"Image img_1 shows severe impact damage to the rear bumper area, including a heavily dented trunk lid and a missing rear bumper cover."
1,user_001,images/sample/case_001/img_1.jpg,car,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",severity,medium,high,supported,supported,dent,dent,rear_bumper,rear_bumper,none,none,"Image img_1 shows severe impact damage to the rear bumper area, including a heavily dented trunk lid and a missing rear bumper cover."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",evidence_standard_met_reason,The full front view provides context and the close-up image shows the scratch on the front bumper.,"The submitted images show two completely different vehicles (a heavily damaged economy car in img_1 and a pristine Jaguar in img_2), making it impossible to verify the claim on a single consistent vehicle.",supported,contradicted,scratch,none,front_bumper,front_bumper,none,claim_mismatch;wrong_object,"The claim of a minor scratch is contradicted by img_1 showing severe structural bumper and headlight damage on one car, while img_2 shows a completely different vehicle with no damage at all."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",risk_flags,none,claim_mismatch;wrong_object,supported,contradicted,scratch,none,front_bumper,front_bumper,none,claim_mismatch;wrong_object,"The claim of a minor scratch is contradicted by img_1 showing severe structural bumper and headlight damage on one car, while img_2 shows a completely different vehicle with no damage at all."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",issue_type,scratch,none,supported,contradicted,scratch,none,front_bumper,front_bumper,none,claim_mismatch;wrong_object,"The claim of a minor scratch is contradicted by img_1 showing severe structural bumper and headlight damage on one car, while img_2 shows a completely different vehicle with no damage at all."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",claim_status,supported,contradicted,supported,contradicted,scratch,none,front_bumper,front_bumper,none,claim_mismatch;wrong_object,"The claim of a minor scratch is contradicted by img_1 showing severe structural bumper and headlight damage on one car, while img_2 shows a completely different vehicle with no damage at all."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",claim_status_justification,The close-up image shows a visible scratch on the claimed front bumper.,"The claim of a minor scratch is contradicted by img_1 showing severe structural bumper and headlight damage on one car, while img_2 shows a completely different vehicle with no damage at all.",supported,contradicted,scratch,none,front_bumper,front_bumper,none,claim_mismatch;wrong_object,"The claim of a minor scratch is contradicted by img_1 showing severe structural bumper and headlight damage on one car, while img_2 shows a completely different vehicle with no damage at all."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",supporting_image_ids,img_1,none,supported,contradicted,scratch,none,front_bumper,front_bumper,none,claim_mismatch;wrong_object,"The claim of a minor scratch is contradicted by img_1 showing severe structural bumper and headlight damage on one car, while img_2 shows a completely different vehicle with no damage at all."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",valid_image,true,false,supported,contradicted,scratch,none,front_bumper,front_bumper,none,claim_mismatch;wrong_object,"The claim of a minor scratch is contradicted by img_1 showing severe structural bumper and headlight damage on one car, while img_2 shows a completely different vehicle with no damage at all."
