row_index,user_id,image_paths,claim_object,user_claim,field,expected,predicted,claim_status_expected,claim_status_predicted,issue_type_expected,issue_type_predicted,object_part_expected,object_part_predicted,risk_flags_expected,risk_flags_predicted,model_summary
1,user_001,images/sample/case_001/img_1.jpg,car,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",evidence_standard_met_reason,The rear bumper is visible and the dent can be verified from the submitted image.,Rear of car is clearly visible with damage to bumper area assessable.,supported,supported,dent,dent,rear_bumper,rear_bumper,none,none,"Image img_1 shows the rear of a white car with significant deformation and crumpling of the rear bumper area, consistent with a dent claim."
1,user_001,images/sample/case_001/img_1.jpg,car,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",claim_status_justification,The image clearly shows a dent on the rear bumper and the user history does not add risk.,"Image img_1 shows the rear of a white car with significant deformation and crumpling of the rear bumper area, consistent with a dent claim.",supported,supported,dent,dent,rear_bumper,rear_bumper,none,none,"Image img_1 shows the rear of a white car with significant deformation and crumpling of the rear bumper area, consistent with a dent claim."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",evidence_standard_met_reason,The full front view provides context and the close-up image shows the scratch on the front bumper.,"Both images show the front of the car clearly. img_1 shows visible damage on the front bumper area, img_2 shows the front bumper in good condition.",supported,supported,scratch,scratch,front_bumper,front_bumper,none,none,"img_1 clearly shows a scratch/mark on the front bumper area near the headlight, consistent with the customer's claim of a light scratch on the front bumper."
2,user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,car,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",claim_status_justification,The close-up image shows a visible scratch on the claimed front bumper.,"img_1 clearly shows a scratch/mark on the front bumper area near the headlight, consistent with the customer's claim of a light scratch on the front bumper.",supported,supported,scratch,scratch,front_bumper,front_bumper,none,none,"img_1 clearly shows a scratch/mark on the front bumper area near the headlight, consistent with the customer's claim of a light scratch on the front bumper."
3,user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,car,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",evidence_standard_met_reason,The windshield is visible and the close-up image shows clear crack lines.,"img_1 clearly shows the windshield with extensive crack/shatter pattern; img_2 shows the same windshield area from a different angle with no visible damage, but img_1 alone is sufficient.",supported,supported,crack,crack,windshield,windshield,none,none,"img_1 shows a clear spider-web/shatter crack pattern on the windshield originating from a central impact point on the driver's side, consistent with a stone impact. img_2 shows the windshield from a different angle without visible damage, but img_1 provides sufficient evidence."
3,user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,car,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",claim_status_justification,The image set supports the claim because the windshield crack is visible in the close-up.,"img_1 shows a clear spider-web/shatter crack pattern on the windshield originating from a central impact point on the driver's side, consistent with a stone impact. img_2 shows the windshield from a different angle without visible damage, but img_1 provides sufficient evidence.",supported,supported,crack,crack,windshield,windshield,none,none,"img_1 shows a clear spider-web/shatter crack pattern on the windshield originating from a central impact point on the driver's side, consistent with a stone impact. img_2 shows the windshield from a different angle without visible damage, but img_1 provides sufficient evidence."
4,user_007,images/sample/case_004/img_1.jpg,car,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",evidence_standard_met_reason,The side mirror is visible and appears broken or missing.,"The side mirror is clearly visible in the image, showing the mirror housing and glass.",supported,supported,broken_part,broken_part,side_mirror,side_mirror,none,none,"The image shows the side mirror with the mirror glass visibly cracked/shattered and the housing appears displaced, consistent with being clipped. The mirror is clearly not sitting properly."
4,user_007,images/sample/case_004/img_1.jpg,car,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",claim_status_justification,The submitted image directly shows damage to the claimed side mirror.,"The image shows the side mirror with the mirror glass visibly cracked/shattered and the housing appears displaced, consistent with being clipped. The mirror is clearly not sitting properly.",supported,supported,broken_part,broken_part,side_mirror,side_mirror,none,none,"The image shows the side mirror with the mirror glass visibly cracked/shattered and the housing appears displaced, consistent with being clipped. The mirror is clearly not sitting properly."
5,user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,car,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",evidence_standard_met_reason,"The rear bumper is visible, but the visible issue is only a small scratch rather than bad damage.",Both images show the rear of the car clearly. img_1 shows a visible dent on the rear bumper area near the quarter panel. img_2 shows the rear bumper from a different angle with no visible damage.,contradicted,supported,scratch,dent,rear_bumper,rear_bumper,claim_mismatch;user_history_risk;manual_review_required,user_history_risk;manual_review_required,img_1 clearly shows a dent on the rear bumper/quarter panel area of the silver car. img_2 shows the rear bumper from a wider angle where the dent is less visible but the bumper appears intact from that view. The damage is visible in img_1.
5,user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,car,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",risk_flags,claim_mismatch;user_history_risk;manual_review_required,user_history_risk;manual_review_required,contradicted,supported,scratch,dent,rear_bumper,rear_bumper,claim_mismatch;user_history_risk;manual_review_required,user_history_risk;manual_review_required,img_1 clearly shows a dent on the rear bumper/quarter panel area of the silver car. img_2 shows the rear bumper from a wider angle where the dent is less visible but the bumper appears intact from that view. The damage is visible in img_1.
